Scenario.nrofHosts,Group.bufferSize,Events1.interval,Group.router,Scenario.name,Scenario.simulateConnections,Scenario.updateInterval,Scenario.endTime,Scenario.nrofHostGroups,wifiInterface1.type,wifiInterface1.transmitSpeed,wifiInterface1.transmitRange,Group.movementModel,Group.okMaps,MapBasedMovement.nrofMapFiles,MapBasedMovement.mapFile1,Group.speed,Group.nrofInterfaces,Group.msgTtl,Group.groupID,Group.deleteDelivered,Events.nrof,Events1.class,Events1.hosts,Events1.size,Events1.prefix,BFGMPRouter.degradationInterval,BFGMPRouter.BFCounters,BFGMPRouter.BFHashFunctions,BFGMPRouter.BFMaxCount,BFGMPRouter.expWeight,SprayAndWaitRouter.nrofCopies,SprayAndWaitRouter.binaryMode,MaxPropRouter.probSetMaxSize,ProphetRouter.secondsInTimeUnit,Group1.nrofHosts,Group1.interface1,MovementModel.rngSeed,MovementModel.worldSize,Report.nrofReports,Report.reportDir,Report.report1,Optimization.cellSizeMult,Optimization.randomizeUpdateOrder
600,100M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 599","50k,500k",msg,300,128,8,32,3,8,true,20,30,600,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
800,100M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 799","50k,500k",msg,300,128,8,32,3,8,true,20,30,800,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
100,150M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 99","50k,500k",msg,300,128,8,32,3,8,true,20,30,100,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
200,150M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 199","50k,500k",msg,300,128,8,32,3,8,true,20,30,200,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
400,150M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 399","50k,500k",msg,300,128,8,32,3,8,true,20,30,400,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
600,150M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 599","50k,500k",msg,300,128,8,32,3,8,true,20,30,600,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
800,150M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 799","50k,500k",msg,300,128,8,32,3,8,true,20,30,800,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
100,200M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 99","50k,500k",msg,300,128,8,32,3,8,true,20,30,100,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
200,200M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 199","50k,500k",msg,300,128,8,32,3,8,true,20,30,200,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
400,200M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 399","50k,500k",msg,300,128,8,32,3,8,true,20,30,400,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
600,200M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 599","50k,500k",msg,300,128,8,32,3,8,true,20,30,600,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
800,200M,"5,25",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 799","50k,500k",msg,300,128,8,32,3,8,true,20,30,800,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
100,50M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 99","50k,500k",msg,300,128,8,32,3,8,true,20,30,100,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
200,50M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 199","50k,500k",msg,300,128,8,32,3,8,true,20,30,200,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
400,50M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 399","50k,500k",msg,300,128,8,32,3,8,true,20,30,400,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
600,50M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 599","50k,500k",msg,300,128,8,32,3,8,true,20,30,600,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
800,50M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 799","50k,500k",msg,300,128,8,32,3,8,true,20,30,800,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
100,75M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 99","50k,500k",msg,300,128,8,32,3,8,true,20,30,100,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
200,75M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 199","50k,500k",msg,300,128,8,32,3,8,true,20,30,200,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
400,75M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 399","50k,500k",msg,300,128,8,32,3,8,true,20,30,400,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
600,75M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 599","50k,500k",msg,300,128,8,32,3,8,true,20,30,600,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
800,75M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 799","50k,500k",msg,300,128,8,32,3,8,true,20,30,800,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
100,100M,"25,35",SeerRouter,cdmx_%%Group.router%%_%%Scenario.nrofHosts%%n_[%%Group.msgTtl%%]ttl_[%%Scenario.endTime%%]s_seed[%%MovementModel.rngSeed%%]_[%%Group.bufferSize%%]_[%%Events1.interval%%]_w[%%BFGMPRouter.expWeight%%],true,5,21600,1,SimpleBroadcastInterface,11M,100,ShortestPathMapBasedMovement,1,1,/home/jairo/Mobility/cdmx_mainroads.wkt,"2.7, 13.9",1,300,n,true,1,MessageEventGenerator,"0, 99","50k,500k",msg,300,128,8,32,3,8,true,20,30,100,wifiInterface1,[78802;   94176;   65221;   44180;   79009; 68831;   73906;   15598; 78051;   71182;   15475;   45907; 5768;    28749;   24113;   80454; 59004;   54008;   70; 8439;    22;  58405;   38517;   33282; 5481;    11778; 96617;   52770;   55182;   5327;     11131; 61959; 44450; 4762;    20098;   61667;   15405;   98682; 82509;   65139; 4029;    90521; 98820;   3136;    35402; 64524;   37578;   16966;  84181;   91016],"35000,25000",1,/home/jairo/Simulaciones/VANET/,MetricsReport,5,true
